Method,Run,Seed,Best Parameters,Best Training Val F1-Score,Tuning Time (s),Test Accuracy,Test F1-Score,Test Precision,Test Recall,Test ROC AUC
Baseline,1,,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",,2.2975049018859863,0.87,0.6990740740740742,0.7864583333333334,0.6291666666666667,0.9040816885964913
GridSearch,1,,"{'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.6572462700574587,17.87640118598938,0.866,0.6954545454545455,0.765,0.6375,0.9079906798245615
PSO,1,0.0,"[803.2613406429795, 0.0001]",0.6651270207852193,235.65638327598572,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991447368421054
PSO,2,1.0,"[804.4786400692332, 0.0001]",0.663594470046083,194.4481918811798,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991392543859649
PSO,3,2.0,"[797.4494960415254, 0.0001]",0.6651270207852193,185.23834538459778,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991447368421053
PSO,4,3.0,"[815.7651974667724, 0.0001]",0.6666666666666665,241.45051336288452,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991557017543859
PSO,5,4.0,"[819.28388162154, 0.0001]",0.6651270207852193,215.34251379966736,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991447368421054
PSO,6,5.0,"[797.1392028739147, 0.0012765360299100692]",0.6774193548387097,200.70220756530762,0.861,0.6890380313199105,0.7439613526570048,0.6416666666666667,0.9076452850877194
PSO,7,6.0,"[809.7959721251505, 0.0001]",0.6651270207852193,199.76597094535828,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991282894736843
PSO,8,7.0,"[802.8993801108745, 0.0001]",0.6651270207852193,211.27177381515503,0.853,0.6620689655172414,0.7384615384615385,0.6,0.899155701754386
PSO,9,8.0,"[804.967136369853, 0.0001]",0.6651270207852193,264.847154378891,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991392543859649
PSO,10,9.0,"[803.3950775489304, 0.0001]",0.6651270207852193,216.79553198814392,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982456
PSO,11,10.0,"[798.1518735530875, 0.0001]",0.6651270207852193,252.38252139091492,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991337719298246
PSO,12,11.0,"[810.0831268725792, 0.0001]",0.6651270207852193,265.5510628223419,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982457
PSO,13,12.0,"[804.742181003538, 0.0001]",0.6651270207852193,190.2854766845703,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991228070175439
PSO,14,13.0,"[624.940835096145, 0.002884401013480975]",0.6712328767123288,200.14837837219238,0.862,0.6905829596412557,0.7475728155339806,0.6416666666666667,0.9060060307017543
PSO,15,14.0,"[801.5615628602314, 0.0001]",0.6651270207852193,191.908052444458,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982457
PSO,16,15.0,"[328.4782330024169, 0.0020626642390375594]",0.6789838337182449,204.35681796073914,0.862,0.6905829596412557,0.7475728155339806,0.6416666666666667,0.9078919956140351
PSO,17,16.0,"[801.204541440678, 0.0001]",0.6651270207852193,212.17292428016663,0.853,0.6620689655172414,0.7384615384615385,0.6,0.899155701754386
PSO,18,17.0,"[798.5300862227888, 0.0001]",0.6651270207852193,207.45872020721436,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982456
PSO,19,18.0,"[802.8809737581914, 0.0001]",0.6651270207852193,265.22084736824036,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991447368421053
PSO,20,19.0,"[815.9199859340814, 0.0001]",0.6666666666666665,263.76120495796204,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991885964912281
PSO,21,20.0,"[797.3531602077205, 0.0001]",0.6651270207852193,183.6006155014038,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982457
PSO,22,21.0,"[818.4440870739002, 0.0001]",0.6651270207852193,234.52084636688232,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982456
PSO,23,22.0,"[797.7723313397225, 0.0001]",0.6651270207852193,271.1032772064209,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982456
PSO,24,23.0,"[110.48660913653465, 0.005388058811643628]",0.6574712643678161,158.3201777935028,0.861,0.6876404494382022,0.7463414634146341,0.6375,0.907094298245614
PSO,25,24.0,"[810.9815478119116, 0.0001]",0.6651270207852193,201.51304507255554,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991337719298246
PSO,26,25.0,"[817.9378578781216, 0.0001]",0.6651270207852193,232.1372046470642,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991337719298246
PSO,27,26.0,"[809.1318107451584, 0.0001]",0.6651270207852193,193.4720959663391,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991118421052632
PSO,28,27.0,"[817.9384618736035, 0.0001]",0.6651270207852193,242.43686151504517,0.853,0.6620689655172414,0.7384615384615385,0.6,0.899155701754386
PSO,29,28.0,"[795.7875976118887, 0.0001]",0.6651270207852193,277.7101218700409,0.854,0.6651376146788991,0.7397959183673469,0.6041666666666666,0.8991502192982456
PSO,30,29.0,"[800.161723476426, 0.0001]",0.663594470046083,209.0918107032776,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991447368421052
ICA,1,0.0,"[593.9659999266931, 0.0008325280485960601]",0.6864988558352403,229.7394618988037,0.856,0.6742081447963801,0.7376237623762376,0.6208333333333333,0.9055290570175439
ICA,2,1.0,"[51.91034877648731, 0.003788628229249567]",0.6851851851851851,225.98551058769226,0.86,0.6846846846846847,0.7450980392156863,0.6333333333333333,0.9071929824561404
ICA,3,2.0,"[470.47350589937327, 0.001296946510840879]",0.6834862385321101,190.99995875358582,0.861,0.6876404494382022,0.7463414634146341,0.6375,0.9067626096491228
ICA,4,3.0,"[8.780721600409597, 0.009961985742654807]",0.6866359447004607,225.29217982292175,0.866,0.6954545454545455,0.765,0.6375,0.9083744517543859
ICA,5,4.0,"[149.81702785819726, 0.002300053380139789]",0.6853146853146853,229.06885647773743,0.861,0.6876404494382022,0.7463414634146341,0.6375,0.9070065789473684
ICA,6,5.0,"[23.646695776489466, 0.005438106557975397]",0.6836027713625866,222.62566256523132,0.862,0.6891891891891891,0.75,0.6375,0.9075137061403509
ICA,7,6.0,"[803.4669890241261, 0.0001]",0.6651270207852193,182.2831473350525,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991557017543859
ICA,8,7.0,"[793.4778496319058, 0.0006452980141802437]",0.6864988558352403,230.0120542049408,0.853,0.6681715575620768,0.729064039408867,0.6166666666666667,0.9050657894736842
ICA,9,8.0,"[758.4182940663432, 0.0006732176309001372]",0.6864988558352403,201.40527057647705,0.854,0.669683257918552,0.7326732673267327,0.6166666666666667,0.9050520833333334
ICA,10,9.0,"[333.38199151183915, 0.001062349157610057]",0.6864988558352403,233.09438586235046,0.854,0.669683257918552,0.7326732673267327,0.6166666666666667,0.9051836622807018
ICA,11,10.0,"[798.6985120941619, 0.0009491368160626947]",0.6834862385321101,222.38315320014954,0.86,0.6846846846846847,0.7450980392156863,0.6333333333333333,0.9064172149122807
ICA,12,11.0,"[800.5132887638549, 0.0001]",0.6651270207852193,193.8405864238739,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982455
ICA,13,12.0,"[778.2814381361668, 0.0006796478375981768]",0.6879271070615034,238.33249926567078,0.854,0.669683257918552,0.7326732673267327,0.6166666666666667,0.905219298245614
ICA,14,13.0,"[688.9435548923611, 0.004024738954632595]",0.6757990867579909,217.10789012908936,0.866,0.6981981981981982,0.7598039215686274,0.6458333333333334,0.903829495614035
ICA,15,14.0,"[556.3417356608179, 0.0008062695216434267]",0.6864988558352403,216.24892282485962,0.855,0.671201814058957,0.736318407960199,0.6166666666666667,0.9050877192982456
ICA,16,15.0,"[408.6487587824059, 0.0009852422602619278]",0.6880733944954128,241.74228477478027,0.855,0.671201814058957,0.736318407960199,0.6166666666666667,0.9051726973684211
ICA,17,16.0,"[817.0172018805281, 0.0001]",0.6651270207852193,204.9461386203766,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991282894736842
ICA,18,17.0,"[1000.0, 0.0006468231585564451]",0.6849315068493151,251.43836855888367,0.855,0.6726862302483071,0.7339901477832512,0.6208333333333333,0.9056825657894737
ICA,19,18.0,"[797.2753410522705, 0.0001]",0.6651270207852193,198.0291907787323,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982457
ICA,20,19.0,"[575.4600608280883, 0.000766078010297544]",0.6864988558352403,209.66542196273804,0.854,0.669683257918552,0.7326732673267327,0.6166666666666667,0.9050109649122807
ICA,21,20.0,"[255.88627621644724, 0.0012853882335412473]",0.6836027713625866,251.99950075149536,0.855,0.6726862302483071,0.7339901477832512,0.6208333333333333,0.905326206140351
ICA,22,21.0,"[755.859306853791, 0.0006679342482987079]",0.6864988558352403,236.0558123588562,0.854,0.669683257918552,0.7326732673267327,0.6166666666666667,0.9050685307017544
ICA,23,22.0,"[863.8823443397787, 0.0006108130867947052]",0.6864988558352403,234.6922333240509,0.852,0.6651583710407241,0.7277227722772277,0.6125,0.9050164473684211
ICA,24,23.0,"[599.1564614032582, 0.0007394571940981746]",0.6864988558352403,246.45765042304993,0.853,0.6681715575620768,0.729064039408867,0.6166666666666667,0.9050438596491228
ICA,25,24.0,"[800.4175711978019, 0.0001]",0.6651270207852193,250.2707540988922,0.853,0.6620689655172414,0.7384615384615385,0.6,0.8991502192982456
ICA,26,25.0,"[3.5583307108323248, 0.046084515562896194]",0.6791569086651055,232.24302101135254,0.871,0.7074829931972789,0.7761194029850746,0.65,0.9063486842105264
ICA,27,26.0,"[907.2815208196696, 0.0005937539641373536]",0.6849315068493151,224.28692197799683,0.852,0.6651583710407241,0.7277227722772277,0.6125,0.9050109649122806
ICA,28,27.0,"[776.9431540249305, 0.0006791349065543037]",0.6879271070615034,238.70427751541138,0.854,0.669683257918552,0.7326732673267327,0.6166666666666667,0.9052220394736842
ICA,29,28.0,"[873.5649105407225, 0.0006086431484977885]",0.6864988558352403,234.58788561820984,0.853,0.6681715575620768,0.729064039408867,0.6166666666666667,0.9050219298245614
ICA,30,29.0,"[255.99679764057421, 0.0017455555842132392]",0.6851851851851851,240.76446962356567,0.861,0.6876404494382022,0.7463414634146341,0.6375,0.9067982456140351
